xmag,ymag,zmag,xaccel,yaccel,zaccel,xgyro,ygyro,zgyro
-234,-3066,6842,120,260,-4090,57,-121,-135
-211,-3030,6846,55,284,-4067,54,-114,-127
-211,-3030,6846,-2,302,-4032,44,-110,-137
-211,-3030,6846,-20,314,-4020,49,-110,-129
-211,-3030,6846,105,287,-4029,63,-111,-118
-211,-3030,6846,116,240,-3975,56,-107,-117
-211,-3030,6846,57,279,-4050,23,-111,-135
-224,-3040,6865,6,320,-3845,36,-112,-139
-224,-3040,6865,97,343,-4059,44,-109,-103
-224,-3040,6865,74,316,-4107,45,-117,-115
-224,-3040,6865,35,263,-4074,29,-110,-119
-224,-3040,6865,91,263,-4279,33,-108,-122
-224,-3040,6865,101,259,-4043,46,-106,-111
-208,-3065,6859,51,248,-4064,69,-112,-140
-208,-3065,6859,18,284,-4090,49,-112,-130
-208,-3065,6859,19,269,-4062,32,-106,-143
-208,-3065,6859,163,-25,-4324,20,-98,-103
-208,-3065,6859,-12,80,-3854,28,-135,-112
-208,-3065,6859,90,192,-3769,39,-130,-132
-208,-3065,6859,6,252,-4086,57,-80,-134
-211,-3073,6880,94,380,-3912,58,-106,-111
-211,-3073,6880,81,303,-4363,66,-137,-123
-211,-3073,6880,-173,277,-3812,59,-110,-136
-211,-3073,6880,94,294,-4300,43,-103,-125
-211,-3073,6880,-18,130,-4047,77,-112,-149
-211,-3073,6880,188,384,-3989,26,-112,-103
-249,-3020,6861,148,271,-4188,53,-109,-109
-249,-3020,6861,13,380,-4017,44,-103,-126
-249,-3020,6861,-19,175,-4326,37,-128,-134
-249,-3020,6861,82,316,-3794,49,-119,-102
-249,-3020,6861,3,271,-4347,56,-103,-113
-249,-3020,6861,235,447,-3823,45,-110,-121
-253,-3041,6872,-7,209,-4055,45,-112,-124
-253,-3041,6872,61,355,-4162,50,-106,-111
-253,-3041,6872,85,203,-3775,45,-96,-106
-253,-3041,6872,11,216,-4244,44,-116,-133
-253,-3041,6872,-80,302,-3918,39,-116,-131
-253,-3041,6872,170,250,-4056,46,-111,-134
-253,-3041,6872,27,309,-4129,61,-102,-111
-245,-3071,6879,87,281,-3923,40,-106,-125
-245,-3071,6879,89,241,-4115,36,-105,-114
-245,-3071,6879,498,144,-4022,65,-157,-99
-245,-3071,6879,539,311,-4726,-18,-149,-99
-245,-3071,6879,-52,34,-3844,7,-148,-130
-245,-3071,6879,-58,2,-5281,15,-213,2
-238,-3056,6859,981,231,-4481,51,-59,-13
-238,-3056,6859,1230,920,-4619,394,-170,-270
-238,-3056,6859,-14,1532,-4135,141,-121,-274
-238,-3056,6859,26,382,-4138,152,-142,-209
-238,-3056,6859,-36,206,-4271,67,-110,-175
-238,-3056,6859,-229,225,-4148,36,-123,-151
-228,-3052,6851,154,108,-3769,0,-128,-100
-228,-3052,6851,49,397,-3873,37,-100,-101
-228,-3052,6851,80,270,-4118,22,-142,-104
-228,-3052,6851,157,207,-3930,42,-112,-113
-228,-3052,6851,97,72,-4003,59,-118,-107
-228,-3052,6851,242,85,-3848,85,-106,-117
-228,-3052,6851,-37,-203,-4193,29,1,-140
-283,-3034,6850,-510,292,-4103,19,-77,-155
-283,-3034,6850,940,216,-6116,174,75,-1401
-283,-3034,6850,8138,4086,-12086,-192,311,-1314
-283,-3034,6850,-2335,-1968,-4360,160,-408,-869
-283,-3034,6850,-375,195,-5217,30,-349,-576
-283,-3034,6850,183,63,-3290,31,-169,131
-247,-3049,6871,79,185,-3978,40,-115,122
-247,-3049,6871,205,309,-4123,54,-96,30
-247,-3049,6871,191,285,-3940,42,-106,-34
-247,-3049,6871,-237,291,-4047,38,-127,-160
-247,-3049,6871,-45,287,-3918,42,-111,-147
-247,-3049,6871,82,238,-4127,61,-102,-137
-223,-3065,6855,136,258,-4056,56,-114,-133
-223,-3065,6855,-256,138,-4013,87,-60,-95
-223,-3065,6855,-101,457,-4111,65,-106,-82
-223,-3065,6855,34,240,-4199,75,-123,-95
-223,-3065,6855,-171,262,-4044,43,-96,-104
-223,-3065,6855,83,197,-4057,38,-101,-136
-262,-3019,6882,64,234,-4148,34,-112,-140
-262,-3019,6882,96,368,-4300,63,-116,-127
-262,-3019,6882,1628,-942,-1083,97,-109,-258
-262,-3019,6882,-956,805,-6918,138,-336,-239
-262,-3019,6882,-754,100,-5425,248,91,3
-262,-3019,6882,-4402,-2010,-422,196,125,-57
-246,-3068,6879,-3761,2097,-4605,268,-214,98
-246,-3068,6879,-2400,-520,-3952,76,462,-333
-246,-3068,6879,90,-704,-2482,-33,-270,-370
-246,-3068,6879,276,-324,-6230,156,-291,155
-246,-3068,6879,1573,-679,-2182,55,-305,-101
-246,-3068,6879,-175,-1879,-3750,-263,47,-237
-246,-3068,6879,-534,-78,-4761,216,-352,-273
-266,-3049,6835,348,-912,-4157,-204,-328,-225
-266,-3049,6835,228,743,-3637,59,-22,-156
-266,-3049,6835,-304,488,-3527,74,-30,-267
-266,-3049,6835,-3644,-1188,-6906,-161,226,342
-266,-3049,6835,-1195,-1087,-10337,109,-224,293
-266,-3049,6835,-5374,-538,4017,32,-46,232
-265,-3068,6812,-1893,-1639,-15897,272,-70,-62
-265,-3068,6812,10245,2232,-13834,-164,-569,-1017
-265,-3068,6812,8828,-5814,-6248,-655,-293,-256
-265,-3068,6812,-651,-1753,-13176,-52,-406,-10
-265,-3068,6812,-888,304,-6931,63,-106,-97
-265,-3068,6812,-407,1069,-5192,55,91,-108
-233,-3053,6842,339,861,-2536,62,-87,-211
-233,-3053,6842,-404,-23,-3685,-11,-147,-179
-233,-3053,6842,80,210,-4043,53,-106,-176
-233,-3053,6842,40,230,-4195,49,-93,-94
-233,-3053,6842,-90,402,-4078,52,-127,-110
-233,-3053,6842,75,619,-3815,52,-47,-142
-233,-3053,6842,343,141,-4118,35,-116,-149
-235,-3050,6894,-41,387,-4319,32,-119,-130
-235,-3050,6894,212,80,-3781,56,-128,-150
-235,-3050,6894,-200,184,-4093,52,-111,-145
-235,-3050,6894,203,209,-3723,52,-111,-144
-235,-3050,6894,281,227,-4171,59,-102,-138
-235,-3050,6894,449,575,-4317,68,-103,-118
-256,-3058,6879,275,601,-4296,45,-66,-108
-256,-3058,6879,480,222,-4397,62,-88,-127
-256,-3058,6879,508,104,-4443,59,-104,-196
-256,-3058,6879,458,670,-5027,35,-168,-186
-256,-3058,6879,110,475,-3983,32,-190,-218
-256,-3058,6879,850,332,-5284,47,-254,-263
-221,-3067,6865,957,770,-4966,86,-259,-278
-221,-3067,6865,684,1016,-5168,97,-300,-335
-221,-3067,6865,700,1094,-5169,83,-334,-358
-221,-3067,6865,542,1044,-5221,45,-392,-433
-221,-3067,6865,283,901,-5395,6,-472,-484
-221,-3067,6865,15,695,-5510,54,-572,-509
-98,-3052,6878,-100,602,-5548,49,-660,-530
-98,-3052,6878,-156,488,-5451,78,-745,-527
-98,-3052,6878,-74,471,-5128,116,-802,-516
-98,-3052,6878,-34,396,-4650,150,-818,-506
-98,-3052,6878,-77,419,-4083,185,-802,-487
-98,-3052,6878,-190,406,-3651,186,-724,-469
-98,-3052,6878,-243,469,-3387,156,-627,-436
242,-3059,6927,-406,360,-3615,189,-521,-450
242,-3059,6927,-531,80,-3766,252,-461,-469
242,-3059,6927,-737,-195,-4116,301,-412,-439
242,-3059,6927,-839,-207,-4528,274,-401,-403
242,-3059,6927,-553,-441,-4978,275,-439,-317
242,-3059,6927,-208,-456,-4945,210,-516,-260
419,-2966,6921,-751,-271,-5573,189,-655,-245
419,-2966,6921,-719,-305,-6016,186,-745,-222
419,-2966,6921,-655,-301,-6394,111,-885,-208
419,-2966,6921,-696,-57,-6321,55,-1059,-183
419,-2966,6921,-775,91,-6085,-7,-1245,-160
419,-2966,6921,-806,-62,-5795,-37,-1407,-154
734,-2964,6853,-771,-383,-5531,-96,-1535,-112
734,-2964,6853,-836,-340,-5041,-140,-1618,-65
734,-2964,6853,-1023,-95,-4507,-230,-1659,-33
734,-2964,6853,-1106,34,-4350,-272,-1702,-22
734,-2964,6853,-1186,-109,-4262,-304,-1712,10
734,-2964,6853,-1182,-368,-4400,-345,-1697,41
734,-2964,6853,-1211,-453,-4204,-389,-1704,71
1260,-3070,6658,-1482,-198,-3871,-383,-1710,123
1260,-3070,6658,-1606,104,-3646,-367,-1726,140
1260,-3070,6658,-1740,143,-3464,-336,-1704,147
1260,-3070,6658,-1751,-43,-3413,-325,-1686,139
1260,-3070,6658,-1897,-89,-3001,-310,-1656,210
1260,-3070,6658,-2098,-216,-1867,-292,-1624,221
1685,-3260,6305,-2073,99,-2357,-283,-1592,238
1685,-3260,6305,-2127,134,-2058,-255,-1540,241
